binary	size	status	seconds	peak_MB
labinius	sizes	ok	1	105
pcs-competitors	sizes	ok	4	92
hashes-flock	sizes	ok	46	1457
hashes-binius	sizes	ok	37	2728
labinius	sizem	ok	2	406
pcs-competitors	sizem	ok	17	278
hashes-flock	sizem	ok	73	2724
hashes-binius	sizem	ok	143	10483
labinius	sizel	ok	9	1514
pcs-competitors	sizel	ok	72	1049
hashes-flock	sizel	ok	167	6928
hashes-binius	sizel	ok	564	41665
labinius	sizexl	ok	33	6008
pcs-competitors	sizexl	ok	318	3967
hashes-flock	sizexl	ok	501	22953
hashes-binius	sizexl	ok	2410	166115
labinius	sizes/labrador	ok	3	286
labinius	sizem/labrador	ok	6	854
labinius	sizel/labrador	ok	14	2358
labinius	sizexl/labrador	ok	38	7505
