binary	size	status	seconds	peak_MB
labinius	sizes	ok	1	105
pcs-competitors	sizes	ok	4	96
hashes-flock	sizes	ok	47	1537
hashes-binius	sizes	ok	35	2766
labinius	sizem	ok	2	406
pcs-competitors	sizem	ok	19	294
hashes-flock	sizem	ok	70	3064
hashes-binius	sizem	ok	137	10536
labinius	sizel	ok	8	1514
pcs-competitors	sizel	ok	81	1107
hashes-flock	sizel	ok	146	8481
hashes-binius	sizel	ok	535	41664
labinius	sizexl	ok	33	6009
pcs-competitors	sizexl	ok	351	4054
hashes-flock	sizexl	ok	413	28730
hashes-binius	sizexl	ok	2283	166112
labinius	sizes/labrador	ok	3	286
labinius	sizem/labrador	ok	6	854
labinius	sizel/labrador	ok	15	2358
labinius	sizexl/labrador	ok	37	7505
