binary	size	status	seconds	peak_MB
labinius	sizes	ok	1	267
pcs-competitors	sizes	ok	4	92
hashes-flock	sizes	ok	47	1452
hashes-binius	sizes	ok	37	2728
labinius	sizem	ok	4	1055
pcs-competitors	sizem	ok	17	280
hashes-flock	sizem	ok	72	2728
hashes-binius	sizem	ok	143	10483
labinius	sizel	ok	16	4022
pcs-competitors	sizel	ok	72	1053
hashes-flock	sizel	ok	168	6928
hashes-binius	sizel	ok	566	41664
labinius	sizexl	ok	59	16022
pcs-competitors	sizexl	ok	322	3968
hashes-flock	sizexl	ok	507	22953
hashes-binius	sizexl	ok	2416	166115
labinius	sizes/labrador	ok	2	369
labinius	sizem/labrador	ok	8	1222
labinius	sizel/labrador	ok	17	4418
labinius	sizexl/labrador	ok	50	16544
